problem_seed,magnitude_strength,optimized_dora_relative_weight_error_mean,optimized_dora_expected_output_mse_mean,optimized_dora_direction_error_mean,optimized_dora_magnitude_relative_mae_mean,feasible_dora_relative_weight_error_mean,lora_oracle_relative_weight_error_mean,optimized_dora_relative_weight_error_median,optimized_dora_relative_weight_error_max,convergence_rate_lt_1e3,n_initializations
204,0.4,1.334097282779112e-06,1.9422224462398162e-12,-6.7055225372314455e-09,1.4975666999816896e-07,1.7681389863355434e-07,0.1835813671350479,1.3623733821077622e-06,1.5430886151079903e-06,1.0,5
204,0.8,1.7937052234628936e-06,3.900914270424383e-12,1.4156103134155273e-08,1.1026859283447266e-07,1.809071648040117e-07,0.31571879982948303,1.81401139798254e-06,2.099049424941768e-06,1.0,5
205,0.0,4.1956576751545075e-06,4.549703417830453e-11,-6.7055225372314455e-09,1.8104910850524903e-07,1.1731869165032549e-07,1.0160343322240806e-07,1.6976213146335795e-06,1.4010226550453808e-05,1.0,5
205,0.4,1.5110544609342468e-06,2.724760651481861e-12,2.16066837310791e-08,1.870095729827881e-07,1.2134645999140048e-07,0.16210982203483582,1.5503235317737563e-06,1.8425362213747576e-06,1.0,5
205,0.8,1.7098509260904394e-06,4.178958828288115e-12,-7.450580596923828e-09,9.238719940185547e-08,1.1439372116228697e-07,0.2802736461162567,1.8682565041672206e-06,2.081572347378824e-06,1.0,5
206,0.0,1.5154070297285215e-06,2.6186853033238756e-12,1.0430812835693359e-08,1.296401023864746e-07,1.6217239817706286e-07,1.484459914991021e-07,1.540417542855721e-06,1.5959336678861291e-06,1.0,5
206,0.4,1.3504865592040006e-06,2.2278358953638223e-12,-1.4901161193847657e-09,1.8998980522155762e-07,1.7093923077027284e-07,0.18292616307735443,1.4124281051408616e-06,1.5501934740314027e-06,1.0,5
206,0.8,1.7049573489202886e-05,1.7032346998503005e-09,-5.215406417846679e-09,3.598630428314209e-07,1.6931626589666848e-07,0.29696619510650635,1.5948902500895201e-06,7.885149534558877e-05,1.0,5
207,0.0,4.712449890575954e-06,4.4093808205386556e-11,-8.940696716308593e-09,1.0952353477478027e-07,1.8480902497231e-07,1.3449967184442357e-07,1.5703263898103614e-06,1.1279294994892552e-05,1.0,5
207,0.4,1.7749836388247785e-06,3.94464521810689e-12,-3.725290298461914e-09,1.3783574104309082e-07,1.7426052068003628e-07,0.16457247734069824,1.6518198435733211e-06,2.5591089070076123e-06,1.0,5
207,0.8,7.384214954981871e-05,3.613923648710001e-08,1.1175870895385742e-08,2.935528755187988e-07,1.7154894749182859e-07,0.27650678157806396,1.9942870039812988e-06,0.00036206076038070023,1.0,5
208,0.0,1.5338371213147184e-06,2.824191878622595e-12,2.458691596984863e-08,1.601874828338623e-07,1.5292418709123012e-07,1.4954666482935863e-07,1.5183393315965077e-06,1.7742704585543834e-06,1.0,5
208,0.4,1.5345399333455134e-06,3.1667936935958483e-12,7.450580596923828e-09,1.1995434761047364e-07,1.7263933216327132e-07,0.1615346074104309,1.4000664805280394e-06,2.16101466321561e-06,1.0,5
208,0.8,0.04303714409470558,0.0028255836106836794,0.0025534451007843016,0.0025511600077152254,1.7728784484916105e-07,0.2770695090293884,0.043045852333307266,0.043076008558273315,0.0,5
209,0.0,2.111406411131611e-06,6.133053418420908e-12,1.6391277313232423e-08,1.601874828338623e-07,1.817094954503773e-07,9.970620595822766e-08,1.5893215277174022e-06,3.9845085666456725e-06,1.0,5
209,0.4,1.4744420241186162e-06,2.58855536831859e-12,6.7055225372314455e-09,1.6987323760986329e-07,1.8508194443711545e-07,0.1700621396303177,1.4879958598612575e-06,1.527254539723799e-06,1.0,5
209,0.8,1.6224736441472487e-06,4.0570868496334065e-12,1.2665987014770507e-08,8.046627044677735e-08,1.8833019055364275e-07,0.2936801612377167,1.5349306750067626e-06,2.566678858784144e-06,1.0,5
