method,rank,magnitude_strength,trainable_parameters,relative_weight_error_mean,relative_weight_error_std,expected_output_mse_mean,expected_output_mse_std,direction_error_mean,magnitude_relative_mae_mean,n_seeds
DoRA construction,8,0.6,400,1.459761172384333e-07,3.0036854541799773e-08,2.7113117049355936e-14,1.2005355693997989e-14,1.2293457984924316e-08,3.4645199775695803e-08,10
DoRA construction,8,0.8,400,1.4860549413242552e-07,2.922753154731044e-08,3.051446306057007e-14,1.2875087029843006e-14,5.587935447692871e-09,4.433095455169678e-08,10
Frozen,1,0.0,0,0.3321646064519882,0.004910479402792547,0.12108170986175537,0.011960264274992584,0.05780901573598385,0.06054960787296295,10
Frozen,1,0.2,0,0.35262359082698824,0.013642526422123885,0.13790006265044213,0.016075224269129374,0.057809019833803175,0.12012173309922218,10
Frozen,1,0.4,0,0.4035197585821152,0.021511097450364707,0.18796372562646865,0.02549807297505511,0.05780901312828064,0.23645752668380737,10
Frozen,1,0.6,0,0.4692587196826935,0.02630473754362559,0.27127272486686704,0.037849632037327476,0.05780901908874512,0.4028717875480652,10
Frozen,1,0.8,0,0.5375755488872528,0.02910479383316953,0.38782698214054107,0.052847116863933605,0.057809019833803175,0.7309154570102692,10
Frozen,2,0.0,0,0.3321646064519882,0.004910479402792547,0.12108170986175537,0.011960264274992584,0.05780901573598385,0.06054960787296295,10
Frozen,2,0.2,0,0.35262359082698824,0.013642526422123885,0.13790006265044213,0.016075224269129374,0.057809019833803175,0.12012173309922218,10
Frozen,2,0.4,0,0.4035197585821152,0.021511097450364707,0.18796372562646865,0.02549807297505511,0.05780901312828064,0.23645752668380737,10
Frozen,2,0.6,0,0.4692587196826935,0.02630473754362559,0.27127272486686704,0.037849632037327476,0.05780901908874512,0.4028717875480652,10
Frozen,2,0.8,0,0.5375755488872528,0.02910479383316953,0.38782698214054107,0.052847116863933605,0.057809019833803175,0.7309154570102692,10
Frozen,4,0.0,0,0.3321646064519882,0.004910479402792547,0.12108170986175537,0.011960264274992584,0.05780901573598385,0.06054960787296295,10
Frozen,4,0.2,0,0.35262359082698824,0.013642526422123885,0.13790006265044213,0.016075224269129374,0.057809019833803175,0.12012173309922218,10
Frozen,4,0.4,0,0.4035197585821152,0.021511097450364707,0.18796372562646865,0.02549807297505511,0.05780901312828064,0.23645752668380737,10
Frozen,4,0.6,0,0.4692587196826935,0.02630473754362559,0.27127272486686704,0.037849632037327476,0.05780901908874512,0.4028717875480652,10
Frozen,4,0.8,0,0.5375755488872528,0.02910479383316953,0.38782698214054107,0.052847116863933605,0.057809019833803175,0.7309154570102692,10
Frozen,8,0.0,0,0.3321646064519882,0.004910479402792547,0.12108170986175537,0.011960264274992584,0.05780901573598385,0.06054960787296295,10
Frozen,8,0.2,0,0.35262359082698824,0.013642526422123885,0.13790006265044213,0.016075224269129374,0.057809019833803175,0.12012173309922218,10
Frozen,8,0.4,0,0.4035197585821152,0.021511097450364707,0.18796372562646865,0.02549807297505511,0.05780901312828064,0.23645752668380737,10
Frozen,8,0.6,0,0.4692587196826935,0.02630473754362559,0.27127272486686704,0.037849632037327476,0.05780901908874512,0.4028717875480652,10
Frozen,8,0.8,0,0.5375755488872528,0.02910479383316953,0.38782698214054107,0.052847116863933605,0.057809019833803175,0.7309154570102692,10
Full fine-tuning,1,0.0,512,0.0,0.0,0.0,0.0,6.7055225372314455e-09,0.0,10
Full fine-tuning,1,0.2,512,0.0,0.0,0.0,0.0,1.4528632164001465e-08,0.0,10
Full fine-tuning,1,0.4,512,0.0,0.0,0.0,0.0,-7.450580596923828e-09,0.0,10
Full fine-tuning,1,0.6,512,0.0,0.0,0.0,0.0,1.3411045074462891e-08,0.0,10
Full fine-tuning,1,0.8,512,0.0,0.0,0.0,0.0,1.4901161193847657e-09,0.0,10
Full fine-tuning,2,0.0,512,0.0,0.0,0.0,0.0,6.7055225372314455e-09,0.0,10
Full fine-tuning,2,0.2,512,0.0,0.0,0.0,0.0,1.4528632164001465e-08,0.0,10
Full fine-tuning,2,0.4,512,0.0,0.0,0.0,0.0,-7.450580596923828e-09,0.0,10
Full fine-tuning,2,0.6,512,0.0,0.0,0.0,0.0,1.3411045074462891e-08,0.0,10
Full fine-tuning,2,0.8,512,0.0,0.0,0.0,0.0,1.4901161193847657e-09,0.0,10
Full fine-tuning,4,0.0,512,0.0,0.0,0.0,0.0,6.7055225372314455e-09,0.0,10
Full fine-tuning,4,0.2,512,0.0,0.0,0.0,0.0,1.4528632164001465e-08,0.0,10
Full fine-tuning,4,0.4,512,0.0,0.0,0.0,0.0,-7.450580596923828e-09,0.0,10
Full fine-tuning,4,0.6,512,0.0,0.0,0.0,0.0,1.3411045074462891e-08,0.0,10
Full fine-tuning,4,0.8,512,0.0,0.0,0.0,0.0,1.4901161193847657e-09,0.0,10
Full fine-tuning,8,0.0,512,0.0,0.0,0.0,0.0,6.7055225372314455e-09,0.0,10
Full fine-tuning,8,0.2,512,0.0,0.0,0.0,0.0,1.4528632164001465e-08,0.0,10
Full fine-tuning,8,0.4,512,0.0,0.0,0.0,0.0,-7.450580596923828e-09,0.0,10
Full fine-tuning,8,0.6,512,0.0,0.0,0.0,0.0,1.3411045074462891e-08,0.0,10
Full fine-tuning,8,0.8,512,0.0,0.0,0.0,0.0,1.4901161193847657e-09,0.0,10
LoRA SVD oracle,1,0.0,48,0.22428536862134935,0.021651368251898662,0.05555566512048245,0.011369981604845822,0.026585979014635087,0.0313935112208128,10
LoRA SVD oracle,1,0.2,48,0.2468746244907379,0.017373555504444953,0.06777043528854847,0.010940447178420434,0.027588604763150216,0.09593878835439681,10
LoRA SVD oracle,1,0.4,48,0.3048780024051666,0.014576796720266027,0.10724900439381599,0.01395796133957843,0.030258045718073844,0.20239277482032775,10
LoRA SVD oracle,1,0.6,48,0.3753939807415009,0.01515116503951154,0.17330191433429717,0.020036917255791157,0.03465948812663555,0.35548423826694486,10
LoRA SVD oracle,1,0.8,48,0.4445840835571289,0.018004238427391267,0.26463711857795713,0.028215513983160582,0.04154372401535511,0.6596771657466889,10
LoRA SVD oracle,2,0.0,96,0.15167265385389328,0.01452725770303243,0.02544260248541832,0.0056549737854490354,0.011751238256692886,0.019622159749269487,10
LoRA SVD oracle,2,0.2,96,0.18200016021728516,0.010433252995029339,0.036793372593820095,0.005297845441653829,0.013025720044970513,0.08415411412715912,10
LoRA SVD oracle,2,0.4,96,0.25019371509552,0.011893930774402236,0.07219797857105732,0.008917167103772588,0.01720573380589485,0.17832395434379578,10
LoRA SVD oracle,2,0.6,96,0.3235771685838699,0.015859806589867763,0.1287810929119587,0.015590748134663728,0.027390215173363687,0.30310882031917574,10
LoRA SVD oracle,2,0.8,96,0.3880694001913071,0.019417738768742854,0.2017446994781494,0.0239771124223531,0.046117023751139644,0.531283724308014,10
LoRA SVD oracle,4,0.0,192,1.2749300282166587e-07,2.1434147388597956e-08,1.8110330807707618e-14,5.908597423593293e-15,8.568167686462402e-09,4.0605664253234865e-08,10
LoRA SVD oracle,4,0.2,192,0.0947846457362175,0.005291207609539155,0.009968648990616202,0.0012661109991378686,0.001727832481265068,0.06634219400584698,10
LoRA SVD oracle,4,0.4,192,0.17758965343236924,0.010310141648902623,0.03631422463804483,0.004097251759286824,0.009151669591665268,0.1281807690858841,10
LoRA SVD oracle,4,0.6,192,0.24155185222625733,0.012951900426449368,0.0717161700129509,0.008331113938028739,0.023110664263367654,0.20522815585136414,10
LoRA SVD oracle,4,0.8,192,0.2923089176416397,0.014334284869111584,0.11453345790505409,0.014032492214148796,0.046059475466609004,0.3531282067298889,10
LoRA SVD oracle,8,0.0,384,1.2958510637872677e-07,2.1262121634387818e-08,1.8686404691398845e-14,5.848303005095539e-15,5.587935447692871e-09,3.5762786865234374e-08,10
LoRA SVD oracle,8,0.2,384,0.04797428250312805,0.0033538627467982387,0.0025560028734616935,0.0003811729972187941,0.0008456803858280182,0.02375282272696495,10
LoRA SVD oracle,8,0.4,384,0.09198023527860641,0.006542107446370516,0.009762209746986628,0.0014172320884172928,0.003607168421149254,0.047832508385181424,10
LoRA SVD oracle,8,0.6,384,0.12886387705802918,0.008908839012504182,0.020426566153764723,0.002786668403395249,0.009135706722736359,0.07310573309659958,10
LoRA SVD oracle,8,0.8,384,0.15788834542036057,0.010836833356114448,0.03343424294143915,0.004679290669493942,0.022653156891465187,0.11108417436480522,10
Magnitude-only oracle,1,0.0,16,0.3330717921257019,0.006047777955635348,0.12170328572392464,0.011597136206398483,0.05780902095139027,4.6566128730773926e-08,10
Magnitude-only oracle,1,0.2,16,0.3322515726089478,0.011272073452639081,0.12228103503584861,0.012097111708292535,0.05780901350080967,4.5821070671081546e-08,10
Magnitude-only oracle,1,0.4,16,0.33116228580474855,0.018446065587639324,0.12648960426449776,0.016239372163659435,0.05780900828540325,3.427267074584961e-08,10
Magnitude-only oracle,1,0.6,16,0.32993437349796295,0.024975803952663293,0.13432900309562684,0.022144631489231497,0.057809017971158026,4.507601261138916e-08,10
Magnitude-only oracle,1,0.8,16,0.32871166467666624,0.030367920680427277,0.145799208432436,0.02888969971661545,0.05780901685357094,3.762543201446533e-08,10
Magnitude-only oracle,2,0.0,16,0.3330717921257019,0.006047777955635348,0.12170328572392464,0.011597136206398483,0.05780902095139027,4.6566128730773926e-08,10
Magnitude-only oracle,2,0.2,16,0.3322515726089478,0.011272073452639081,0.12228103503584861,0.012097111708292535,0.05780901350080967,4.5821070671081546e-08,10
Magnitude-only oracle,2,0.4,16,0.33116228580474855,0.018446065587639324,0.12648960426449776,0.016239372163659435,0.05780900828540325,3.427267074584961e-08,10
Magnitude-only oracle,2,0.6,16,0.32993437349796295,0.024975803952663293,0.13432900309562684,0.022144631489231497,0.057809017971158026,4.507601261138916e-08,10
Magnitude-only oracle,2,0.8,16,0.32871166467666624,0.030367920680427277,0.145799208432436,0.02888969971661545,0.05780901685357094,3.762543201446533e-08,10
Magnitude-only oracle,4,0.0,16,0.3330717921257019,0.006047777955635348,0.12170328572392464,0.011597136206398483,0.05780902095139027,4.6566128730773926e-08,10
Magnitude-only oracle,4,0.2,16,0.3322515726089478,0.011272073452639081,0.12228103503584861,0.012097111708292535,0.05780901350080967,4.5821070671081546e-08,10
Magnitude-only oracle,4,0.4,16,0.33116228580474855,0.018446065587639324,0.12648960426449776,0.016239372163659435,0.05780900828540325,3.427267074584961e-08,10
Magnitude-only oracle,4,0.6,16,0.32993437349796295,0.024975803952663293,0.13432900309562684,0.022144631489231497,0.057809017971158026,4.507601261138916e-08,10
Magnitude-only oracle,4,0.8,16,0.32871166467666624,0.030367920680427277,0.145799208432436,0.02888969971661545,0.05780901685357094,3.762543201446533e-08,10
Magnitude-only oracle,8,0.0,16,0.3330717921257019,0.006047777955635348,0.12170328572392464,0.011597136206398483,0.05780902095139027,4.6566128730773926e-08,10
Magnitude-only oracle,8,0.2,16,0.3322515726089478,0.011272073452639081,0.12228103503584861,0.012097111708292535,0.05780901350080967,4.5821070671081546e-08,10
Magnitude-only oracle,8,0.4,16,0.33116228580474855,0.018446065587639324,0.12648960426449776,0.016239372163659435,0.05780900828540325,3.427267074584961e-08,10
Magnitude-only oracle,8,0.6,16,0.32993437349796295,0.024975803952663293,0.13432900309562684,0.022144631489231497,0.057809017971158026,4.507601261138916e-08,10
Magnitude-only oracle,8,0.8,16,0.32871166467666624,0.030367920680427277,0.145799208432436,0.02888969971661545,0.05780901685357094,3.762543201446533e-08,10

