architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
mlp,contrast,11,lora,LoRA,lora,4-4-4,0.01,1.0,0.9416666666666667,0.23038503527641296,20,38,1832,0.39390552499980913
mlp,contrast,22,lora,LoRA,lora,4-4-4,0.01,1.0,0.9555555555555556,0.8897384405136108,2,20,1832,0.2093801359999361
mlp,contrast,33,lora,LoRA,lora,4-4-4,0.01,1.0,0.9527777777777777,0.8880128860473633,2,20,1832,0.20454757499987863
mlp,contrast,44,lora,LoRA,lora,4-4-4,0.01,1.0,0.9388888888888889,0.37933349609375,6,24,1832,0.24921885799994925
mlp,contrast,55,lora,LoRA,lora,4-4-4,0.01,1.0,0.9472222222222222,1.0123867988586426,1,19,1832,0.1969425269999192
mlp,contrast,11,lora,LoRA,lora,4-4-4,0.03,1.0,0.95,0.2619917094707489,45,63,1832,0.6714839789999587
mlp,contrast,22,lora,LoRA,lora,4-4-4,0.03,1.0,0.9472222222222222,0.18987756967544556,11,29,1832,0.32975765899982434
mlp,contrast,33,lora,LoRA,lora,4-4-4,0.03,1.0,0.9333333333333333,0.2797449231147766,39,57,1832,0.6138883050000459
mlp,contrast,44,lora,LoRA,lora,4-4-4,0.03,1.0,0.9333333333333333,0.8299795985221863,1,19,1832,0.2243634999999813
mlp,contrast,55,lora,LoRA,lora,4-4-4,0.03,1.0,0.9305555555555556,0.2824665904045105,7,25,1832,0.26505751000013333
mlp,contrast,11,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,0.9527777777777777,0.9990322589874268,5,23,1832,0.24936257399986062
mlp,contrast,22,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,0.9583333333333334,0.9970294237136841,5,23,1832,0.2626131780000378
mlp,contrast,33,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,0.9583333333333334,0.5047184228897095,23,41,1832,0.42764682999995784
mlp,contrast,44,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,0.9555555555555556,0.9904162883758545,5,23,1832,0.25752411999997094
mlp,contrast,55,lora_plus,LoRA+,lora_plus,4-4-4,0.0003,16.0,0.9472222222222222,1.0028388500213623,5,23,1832,0.25632539299999735
mlp,contrast,11,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,0.9472222222222222,0.8286715745925903,4,22,1832,0.24932009500003005
mlp,contrast,22,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,0.9472222222222222,0.2231934815645218,32,50,1832,0.5949179920000915
mlp,contrast,33,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,0.9527777777777777,0.5112683773040771,8,26,1832,0.28375389300003917
mlp,contrast,44,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,0.9444444444444444,0.7692117691040039,4,22,1832,0.22646986899985677
mlp,contrast,55,lora_plus,LoRA+,lora_plus,4-4-4,0.001,16.0,0.9416666666666667,0.8101776242256165,4,22,1832,0.22849507999990237
mlp,contrast,11,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.9361111111111111,0.24541941285133362,17,35,1832,0.3669885849999446
mlp,contrast,22,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.9472222222222222,0.7024150490760803,2,20,1832,0.22591601399994943
mlp,contrast,33,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.9583333333333334,0.7054758071899414,2,20,1832,0.21445013000015933
mlp,contrast,44,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.9555555555555556,0.6599911451339722,2,20,1832,0.21292981000010514
mlp,contrast,55,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.9388888888888889,0.6997557878494263,2,20,1832,0.21625563999987207
mlp,contrast,11,dora,DoRA,dora,4-4-4,0.003,1.0,0.9527777777777777,0.47947630286216736,13,31,2034,0.3885702189998028
mlp,contrast,22,dora,DoRA,dora,4-4-4,0.003,1.0,0.9583333333333334,0.4479195475578308,13,31,2034,0.3804528200000732
mlp,contrast,33,dora,DoRA,dora,4-4-4,0.003,1.0,0.9555555555555556,0.5263870358467102,10,28,2034,0.3517361649999202
mlp,contrast,44,dora,DoRA,dora,4-4-4,0.003,1.0,0.9472222222222222,0.489568293094635,11,29,2034,0.3678077280001162
mlp,contrast,55,dora,DoRA,dora,4-4-4,0.003,1.0,0.95,0.5577248930931091,9,27,2034,0.35082425099994907
mlp,contrast,11,dora,DoRA,dora,4-4-4,0.01,1.0,0.9472222222222222,0.3502388894557953,7,25,2034,0.3595400020001307
mlp,contrast,22,dora,DoRA,dora,4-4-4,0.01,1.0,0.9527777777777777,0.9266809821128845,1,19,2034,0.2798926660000234
mlp,contrast,33,dora,DoRA,dora,4-4-4,0.01,1.0,0.9555555555555556,0.7377132177352905,2,20,2034,0.30444425500013494
mlp,contrast,44,dora,DoRA,dora,4-4-4,0.01,1.0,0.9472222222222222,0.3609659969806671,6,24,2034,0.3536396720000994
mlp,contrast,55,dora,DoRA,dora,4-4-4,0.01,1.0,0.9472222222222222,0.5652138590812683,3,21,2034,0.32340560699981324
mlp,contrast,11,dora,DoRA,dora,4-4-4,0.03,1.0,0.9388888888888889,0.26077693700790405,7,25,2034,0.3918877670000711
mlp,contrast,22,dora,DoRA,dora,4-4-4,0.03,1.0,0.9472222222222222,0.43179580569267273,2,20,2034,0.27723574299989195
mlp,contrast,33,dora,DoRA,dora,4-4-4,0.03,1.0,0.9305555555555556,0.3015509247779846,9,27,2034,0.35199334699996143
mlp,contrast,44,dora,DoRA,dora,4-4-4,0.03,1.0,0.9388888888888889,0.6488355994224548,1,19,2034,0.24271555400014222
mlp,contrast,55,dora,DoRA,dora,4-4-4,0.03,1.0,0.9333333333333333,0.27677345275878906,6,24,2034,0.3096857419998287
mlp,contrast,11,full,Full fine-tuning,full,0-0-0,0.0001,1.0,0.9583333333333334,0.9147816896438599,18,36,17226,0.3370637790001183
mlp,contrast,22,full,Full fine-tuning,full,0-0-0,0.0001,1.0,0.9611111111111111,0.9234175086021423,17,35,17226,0.33544690900021124
mlp,contrast,33,full,Full fine-tuning,full,0-0-0,0.0001,1.0,0.9611111111111111,0.9179366827011108,18,36,17226,0.33617627899980107
mlp,contrast,44,full,Full fine-tuning,full,0-0-0,0.0001,1.0,0.9527777777777777,0.5742703080177307,60,78,17226,0.7678162929998962
mlp,contrast,55,full,Full fine-tuning,full,0-0-0,0.0001,1.0,0.9583333333333334,0.9171456098556519,18,36,17226,0.3378338760001043
mlp,contrast,11,full,Full fine-tuning,full,0-0-0,0.0003,1.0,0.9527777777777777,0.6958933472633362,14,32,17226,0.3118130550001297
mlp,contrast,22,full,Full fine-tuning,full,0-0-0,0.0003,1.0,0.9638888888888889,0.5553281307220459,21,39,17226,0.36336944500021673
mlp,contrast,33,full,Full fine-tuning,full,0-0-0,0.0003,1.0,0.9583333333333334,0.8284558653831482,9,27,17226,0.23726141299994197
mlp,contrast,44,full,Full fine-tuning,full,0-0-0,0.0003,1.0,0.9583333333333334,0.8815540075302124,7,25,17226,0.21931592900000396
mlp,contrast,55,full,Full fine-tuning,full,0-0-0,0.0003,1.0,0.9555555555555556,0.9506537318229675,5,23,17226,0.20340643100007583
mlp,contrast,11,full,Full fine-tuning,full,0-0-0,0.001,1.0,0.9611111111111111,0.3340412676334381,13,31,17226,0.27962396299994907
mlp,contrast,22,full,Full fine-tuning,full,0-0-0,0.001,1.0,0.9583333333333334,0.24661903083324432,20,38,17226,0.34444542599999295
mlp,contrast,33,full,Full fine-tuning,full,0-0-0,0.001,1.0,0.9555555555555556,0.651215672492981,5,23,17226,0.2126989710000089
mlp,contrast,44,full,Full fine-tuning,full,0-0-0,0.001,1.0,0.9555555555555556,0.16890960931777954,58,76,17226,0.7043935170001987
mlp,contrast,55,full,Full fine-tuning,full,0-0-0,0.001,1.0,0.9611111111111111,0.4409101605415344,9,27,17226,0.2506455969999024
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,0.9555555555555556,0.8962643146514893,5,23,2024,0.2506637349999892
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,0.9583333333333334,0.5265926718711853,11,29,2024,0.31460483199998635
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,0.9555555555555556,0.6031973361968994,9,27,2024,0.28426233000004686
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,0.9444444444444444,0.8788704872131348,5,23,2024,0.23643214399999124
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.003,1.0,0.95,0.6312388777732849,9,27,2024,0.2930333540000447
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,0.9416666666666667,0.21200676262378693,23,41,2024,0.4269496879999224
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,0.9527777777777777,0.8734334111213684,2,20,2024,0.2120278600000347
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,0.9527777777777777,0.8671645522117615,2,20,2024,0.20662765400015815
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,0.9333333333333333,0.5224028825759888,4,22,2024,0.2302226699998755
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.01,1.0,0.95,1.003697156906128,1,19,2024,0.19347784299998239
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.9527777777777777,0.21182887256145477,25,43,2024,0.4396060799999759
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.9555555555555556,0.1910976618528366,15,33,2024,0.35029781100001856
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.9416666666666667,0.3631470501422882,48,66,2024,0.6844718509998984
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.9361111111111111,0.785419225692749,1,19,2024,0.20416430299997046
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.925,0.25030288100242615,10,28,2024,0.28818818599984297
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,0.9527777777777777,0.7363975644111633,8,26,2024,0.26934160600012547
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,0.9555555555555556,0.5484382510185242,11,29,2024,0.29981850299986945
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,0.9527777777777777,0.5341497659683228,12,30,2024,0.32044334000011077
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,0.9472222222222222,0.545665979385376,11,29,2024,0.3015561699999125
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.003,1.0,0.9472222222222222,0.6459252834320068,9,27,2024,0.2826411759999701
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,0.9444444444444444,0.6369881629943848,4,22,2024,0.23247832800007018
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,0.9527777777777777,0.5550127625465393,4,22,2024,0.2306830350000837
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,0.9527777777777777,0.8880479335784912,2,20,2024,0.21359594199998355
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,0.9416666666666667,0.5548080205917358,4,22,2024,0.23750094700017144
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.01,1.0,0.9472222222222222,1.006377100944519,1,19,2024,0.2072179019999112
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,0.9361111111111111,0.6144390106201172,2,20,2024,0.21489561999987927
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,0.9555555555555556,0.24677999317646027,35,53,2024,0.6330629070000668
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,0.9333333333333333,0.24105118215084076,18,36,2024,0.46037841300017135
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,0.9444444444444444,0.811488687992096,1,19,2024,0.24730707999992774
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-5-4,0.03,1.0,0.9361111111111111,0.2791996896266937,20,38,2024,0.4992020980000689
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,0.9527777777777777,0.7221888303756714,8,26,1980,0.3482771510000475
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,0.9527777777777777,0.6325656175613403,8,26,1980,0.3354227750000973
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,0.9583333333333334,0.4952608644962311,12,30,1980,0.40263864100006685
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,0.95,0.6750749349594116,8,26,1980,0.3424637220000477
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.003,1.0,0.9472222222222222,0.6420583724975586,9,27,1980,0.34357739100005347
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,0.9472222222222222,0.5896354913711548,4,22,1980,0.2794027089998963
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,0.95,0.8556029200553894,2,20,1980,0.25253187500015883
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,0.9527777777777777,0.8697451949119568,2,20,1980,0.23393554800009042
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,0.9361111111111111,0.541695773601532,4,22,1980,0.23464613800001644
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.01,1.0,0.9388888888888889,0.3286539614200592,8,26,1980,0.2767363179998483
mlp,contrast,11,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,0.95,0.2392030954360962,43,61,1980,0.6319013730001188
mlp,contrast,22,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,0.9472222222222222,0.2175830453634262,22,40,1980,0.40727135999986785
mlp,contrast,33,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,0.9472222222222222,0.22581617534160614,12,30,1980,0.3099495589999606
mlp,contrast,44,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,0.925,0.30609390139579773,22,40,1980,0.4273522429998593
mlp,contrast,55,lora_matched,LoRA (DoRA-matched budget),lora,4-4-6,0.03,1.0,0.9333333333333333,0.30415481328964233,26,44,1980,0.47060862900002576
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,0.9527777777777777,0.4781787395477295,13,31,1768,0.37965667100002065
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,0.9527777777777777,0.6014376282691956,8,26,1768,0.3206802100000914
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,0.9583333333333334,0.44054827094078064,15,33,1768,0.40824530299983053
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,0.95,0.4894067049026489,11,29,1768,0.35293751599988354
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.003,1.0,0.9472222222222222,0.4994640052318573,11,29,1768,0.35704728799987606
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,0.9472222222222222,0.3785719871520996,6,24,1768,0.291168326999923
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,0.9527777777777777,0.9342057108879089,1,19,1768,0.23300924900013342
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,0.9583333333333334,0.5821166038513184,3,21,1768,0.2584213229999932
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,0.9444444444444444,0.36117103695869446,6,24,1768,0.31150936200015167
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.01,1.0,0.9555555555555556,0.9385077357292175,1,19,1768,0.23044560599987562
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.9472222222222222,0.22591039538383484,8,26,1768,0.3275495679999949
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.9527777777777777,0.4043809771537781,2,20,1768,0.24626392699997268
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.925,0.2871848940849304,19,37,1768,0.4653818730000694
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.9361111111111111,0.6567639112472534,1,19,1768,0.2412465219999831
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.9333333333333333,0.25177350640296936,8,26,1768,0.3223685899999964
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,0.9555555555555556,0.4960406422615051,13,31,1768,0.38127377799992246
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,0.9527777777777777,0.6086447834968567,8,26,1768,0.32254907199990157
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,0.9555555555555556,0.920417845249176,3,21,1768,0.2508283439999559
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,0.9472222222222222,0.540918231010437,10,28,1768,0.3375309969999307
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,0.95,0.3434557616710663,22,40,1768,0.48422780700002477
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,0.9472222222222222,0.48998531699180603,4,22,1768,0.26837080399991464
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,0.9527777777777777,0.9319321513175964,1,19,1768,0.23570427499998914
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,0.9583333333333334,0.2651495933532715,18,36,1768,0.4364015500000278
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,0.9444444444444444,0.4793377220630646,4,22,1768,0.2622977969999738
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.01,1.0,0.9472222222222222,0.5749050378799438,3,21,1768,0.25510779799992633
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,0.9416666666666667,0.3414621949195862,3,21,1768,0.25187803500011796
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,0.9527777777777777,0.23750048875808716,9,27,1768,0.32521087100008117
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,0.9416666666666667,0.32002899050712585,9,27,1768,0.31808322599999883
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,0.925,0.2952323257923126,6,24,1768,0.2885642779999671
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.03,1.0,0.9361111111111111,0.28044024109840393,5,23,1768,0.2803715709999324
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.48065185546875,13,31,1798,0.40151616200000717
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9583333333333334,0.483956903219223,11,29,1798,0.3667796710001312
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.9555555555555556,0.46426790952682495,15,33,1798,0.41198272399992675
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.95,0.8041889667510986,5,23,1798,0.28719456299995727
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,0.95,0.42646417021751404,15,33,1798,0.41780876100006026
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,0.9555555555555556,0.4812944233417511,4,22,1798,0.26946684700010337
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,0.95,0.24321149289608002,17,35,1798,0.44784708199995293
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,0.9583333333333334,0.5917341709136963,3,21,1798,0.30204232799997044
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,0.9444444444444444,0.3735513985157013,6,24,1798,0.3543544669998937
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,0.95,0.9431694746017456,1,19,1798,0.27565718100004233
mlp,contrast,11,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,0.9416666666666667,0.24699470400810242,7,25,1798,0.3859327410000333
mlp,contrast,22,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,0.9472222222222222,0.2284383326768875,31,49,1798,0.727119908000077
mlp,contrast,33,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,0.9333333333333333,0.2552759051322937,16,34,1798,0.4061042079999879
mlp,contrast,44,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,0.925,0.372304230928421,3,21,1798,0.25899545199990825
mlp,contrast,55,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,0.9388888888888889,0.25264498591423035,7,25,1798,0.3065802139999505
mlp,rotation,11,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.5111111111111111,4.242985725402832,0,0,0,0.0
mlp,rotation,22,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.5111111111111111,4.242985725402832,0,0,0,0.0
mlp,rotation,33,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.5111111111111111,4.242985725402832,0,0,0,0.0
mlp,rotation,44,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.5111111111111111,4.242985725402832,0,0,0,0.0
mlp,rotation,55,frozen,Frozen,frozen,0-0-0,0.0,1.0,0.5111111111111111,4.242985725402832,0,0,0,0.0
mlp,rotation,11,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.7444444444444445,0.8434195518493652,119,120,202,1.0877655660001437
mlp,rotation,22,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.75,0.8501926064491272,119,120,202,1.1251748489999045
mlp,rotation,33,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.7444444444444445,0.8072105646133423,120,120,202,1.074010213999827
mlp,rotation,44,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,0.7472222222222222,0.8312434554100037,113,120,202,1.1558464830000048
